ProcessID,Count
P00140,7777
P00228_01,4163
P00269_01,3794
P00116_03,3128
P00204,2823
P00250_03,2404
P00274,1889
P00220,1445
P00297,1237
P00203,1190
P00145_01,1145
P00230_01,1095
P00239_01,1051
P00230_02,990
P00232_02,657
P00019_03,639
P00202,592
P00075,585
P00006,573
P00091,572
P00108,444
P00233,346
P00168_02,307
P00282,296
P00175_02,260
P00013,259
P00294,237
P00232_03,305
P00232_08,195
P00180,192
P00200_01,184
P00232_11,180
P00281_01,178
P00232_10,169
P00232_04,165
P00232_05,165
P00232_06,165
P00232_12,165
P00157,164
P00253_03,177
P00165_01,162
P00283,162
P00232_07,153
P00232_09,152
P00223,149
P00133,136
P00252,135
P00225,127
P00278,127
P00209_01,124
P00017_04,118
P00112_03,188
P00245_06,163
P00245_04,158
P00165_02,100
P00112_04,176
P00200_02,91
P00023_01,88
P00222,86
P00084,85
P00166,84
P00159,78
P00302_02,77
P00038_01,69
P00144_01,69
P00207,90
P00253_01,68
P00017_02,102
P00058,63
P00268,63
P00276_01,63
P00037,62
P00112_02,82
P00018_02,61
P00185,60
P00200_03,60
P00018_03,86
P00136_02,56
P00242_02,54
P00250_02,55
P00208,51
P00099_02,46
P00109_01,45
P00162_01,45
P00245_07,71
P00002_01,44
P00002_02,42
P00247,41
P00245_09,50
P00112_01,74
P00002_04,35
P00285,37
P00318,33
P00017_01,34
P00195,32
P00196,32
P00197,32
P00237,34
P00242_01,32
P00271,32
P00286,32
P00012_01,31
P00099_01,31
P00254_01,32
P00254_02,32
P00255,31
P00017_03,30
P00277_02,30
P00002_07,29
P00093_02,29
P00148_06,30
P00093_01,28
P00277_01,28
P00168_01,27
P00232_01,27
P00245_05,39
P00056_04,26
P00229_01,26
P00100_02,25
P00100_03,25
P00245_08,30
P00027_01,24
P00056_03,24
P00130_01,24
P00175_01,24
P00021_01,23
P00319,22
P00007_02,21
P00048_01,21
P00072,21
P00105_02,21
P00230_03,23
P00093_05,20
P00276_10,20
P00152_04,19
P00238_01,20
P00138,17
P00118_01,16
P00192,16
P00245_02,16
P00245_03,22
P00002_05,15
P00002_06,15
P00020,28
P00320,15
P00014_03,14
P00276_11,14
P00014_04,13
P00027_02,13
P00149,13
P00257_02,13
P00276_03,13
P00128_01,12
P00147,12
P00226_01,12
P00226_02,12
P00245_01,15
P00253_02,12
P00276_12,12
P00176,11
P00257_01,11
P00258_01,11
P00270,11
P00284,11
P00025_02,10
P00172,10
P00198,10
P00052,9
P00131_02,9
P00227_01,9
P00244,9
P00258_02,9
P00069_01,8
P00141,8
P00151,8
P00155,8
P00177_02,8
P00226_03,8
P00259_02,8
P00276_09,8
P00259_01,7
P00011_01,6
P00011_02,6
P00029_02,6
P00057,6
P00062_01,6
P00093_03,6
P00153_01,10
P00177_01,6
P00199,6
P00100_01,5
P00118_02,5
P00154,5
P00246,9
P00260,5
P00266,6
P00276_06,5
P00276_07,5
P00276_08,5
P00015_01,4
P00015_03,4
P00017_05,5
P00276_02,4
P00276_04,4
P00276_05,4
P00027_03,3
P00290_01,3
P00306_01,3
P00306_02,3
P00306_03,3
P00086,2
P00193,3
P00264,2
P00265,3
P00015_02,1
P00015_04,1
P00018_01,1
P00025_01,1
P00088,1
P00092_01,1
P00092_02,1
P00094,1
P00097,1
P00098,1
P00162_02,1
P00239_02,1
P00262,1
P00263,1
P00276_13,1
P00293,1
P00333,1
