Column2,Column3,Column6,Column8,Column17,Column85,Column154,Column155,Column156,90Days,30Days
P00264,P00264_RPA_fct_store_monthly_plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,10.4,,,,5,2
P00265,P00265_RPA_Finance_Season_Plan_ByGDept,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,3.9,,,,3,3
P00015_02,P00015_2_SumUp200ThisWeek,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,8,1
P00015_04,P00015_4_SumByTheDayThisWeek,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,9,1
P00018_01,P00018_01_FixLogisticsActualCost_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,962,X,,< 1 Month,8,1
P00025_01,P00025_01_EnrolledListCreation,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,430,X,,< 3 Month,5,1
P00088,P00088_UnpaidRentAxUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,656,X,,< 1 Month,3,1
P00092_01,P00092_01_SendRemindMailForStockOption,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,750,,X,Monthly,4,1
P00092_02,P00092_02_CheckReadReceiptMailForStockOption,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,656,,X,Monthly,3,1
P00094,P00094_CMSTransactionAxUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,1307,X,,< 1 Month,3,1
P00097,P00097_NttComWithdrawTransferAxUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,534,X,,< 1 Month,5,1
P00098,P00098_NttEWWithdrawTransferAxUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,534,X,,< 1 Month,4,1
P00162_02,P00162_02_ContractRenewalOfFixedTermEmployees,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 1 Month,46,1
P00262,P00262_RPA_Finance_Daily_Target_Bystore,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,23.5,,,,9,1
P00263,P00263_RPA_MD_Monthly_Forecast,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,23.5,,,,2,1
P00280,P00280_Time_Attandence_Modification_Assistant,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,720,,X,Daily,6020,
P00095,P00095_AlertContractRenewalDate_EcLogistics,Go-live / リリース済・本番稼働中,EC,FRJP,205,,X,Daily,40,
P00101_01,P00101_01_OutputWarehouseWorkReport,Go-live / リリース済・本番稼働中,EC,FRJP,1152,,X,< 1 Day,40,
P00128_02,P00128_02_UTme_CreateLicenserReport,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 3 Month,29,
P00080,P00080_GlobalSalesTop,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,520,X,,< 1 Week,14,
P00245_11,P00245_11_Z-System_SOS_Sharefolder,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,12,
P00016,P00016_SalesInterface,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,120,X,,< 1 Month,6,
P00261,P00261_RPA_EC_Promotion_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,101.9,,,,4,
P00136_01,P00136_01_StoreProductStockout_SearchWarehouseStock,Go-live / リリース済・本番稼働中,EC,FRJP,720,X,,< 1 Day,3,
P00083,P00083_MonthlyReview,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,300,X,,< 1 Month,2,
P00206,P00206_Financial Statement Report Generation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,587,X,,,2,
P00001_01,P00001_01_CustomerCenterItemExchange,Go-live / リリース済・本番稼働中,EC,FRJP,3375,X,,< 15 Minutes,,
P00002_03,P00002_03_SaturnQuery_ConfirmCreditCardSales,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,,X,< 1 Day,,
P00003_02,P00003_02_CreateBoxFolder_DepositMachine_GU,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,,
P00004_01,P00004_01_CalculateRepayment,Go-live / リリース済・本番稼働中,EC,FRJP,6695,X,,< 15 Minutes,,
P00004_02,P00004_02_RegistRepayment,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 15 Minutes,,
P00005_01,P00005_01_RegistRepayment_ReturnDelivery,Go-live / リリース済・本番稼働中,EC,FRJP,534,X,,< 15 Minutes,,
P00012_02,P00012_02_DV_LucenexSatusUpdate,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,,
P00012_03,P00012_03_DVPaymentRefundPosting,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,,
P00014_01,P00014_01_DownloadDwhData,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,1906,X,,< 1 Week,,
P00014_02,P00014_02_DownloadImsData,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,,
P00019_01,P00019_01_CreateActualSalesWeeklyReport_Aggregated,Go-live / リリース済・本番稼働中,EC,FRJP,3420,,X,Weekly,,
P00019_02,P00019_02_CreateActualSalesMonthlyReport_Aggregated,Go-live / リリース済・本番稼働中,EC,FRJP,0,,X,Monthly,,
P00022_01,P00022_01_SendUnsettledAlarmMail,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,86,X,,< 1 Month,,
P00022_02,P00022_02_CheckUnsettledAlarmInputFile,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 1 Month,,
P00024_01,P00024_01_InvoiceCreation,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,270,X,,< 1 Month,,
P00026_01,P00026_01_IssueReceipt_fromOnlinestore,Go-live / リリース済・本番稼働中,EC,FRJP,1004,X,,< 30 Minutes,,
P00029_01,P00029_01_GlobalOrder_Regular,Go-live / リリース済・本番稼働中,BPR / 事業構造改革,FRJP,500,X,,< 1 Day,,
P00032,P00032_CheckBalanceCreator,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,120,X,,< 3 Month,,
P00033_01,P00033_01_CU_Corporate_OrderItem,Go-live / リリース済・本番稼働中,EC,FRJP,3825,X,,< 30 Minutes,,
P00033_02,P00033_02_CU_Corporate_IssueInvoice,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 30 Minutes,,
P00034_01,P00034_01_CU_Customize_OrderItem,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 30 Minutes,,
P00034_02,P00034_02_CU_Customize_IssueInvoice,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 30 Minutes,,
P00038_02,P00038_02_CheckRequest_DigitalSinage,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,0,X,,< 1 Day,,
P00039_01,P00039_UnmatchCheck,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,442,X,,< 1 Week,,
P00045_01,P00045_01_OrganizationChartCreation,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,1260,X,,< 1 Month,,
P00045_02,P00045_02_OrganizationChartCreationWithRole,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 1 Month,,
P00055_01,P00055_01_ProductStockout_SearchWarehouseStock,Go-live / リリース済・本番稼働中,EC,FRJP,823,X,,< 1 Day,,
P00055_02,P00055_02_ProductStockout_SearchStoreStock,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 1 Day,,
P00060_01,P00060_WeeklyManagementReport,Go-live / リリース済・本番稼働中,Management Cockpit / 経営コックピット,FRJP,416,,X,< 1 Week,,
P00061_01,P00061_01_MonthlyReport,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,2202,X,,< 1 Month,,
P00071_01,P00071_01_InstructorMatching,Go-live / リリース済・本番稼働中,Sustainability / サステナビリティ,FRJP,23,X,,< 6 Month,,
P00071_02,P00071_02_OverallListUpload,Go-live / リリース済・本番稼働中,Sustainability / サステナビリティ,FRJP,0,X,,< 6 Month,,
P00071_03,P00071_03_ForSchoolDraftMailCreate,Go-live / リリース済・本番稼働中,Sustainability / サステナビリティ,FRJP,0,X,,< 6 Month,,
P00071_04,P00071_04_ForInstructorsDraftMailCreate,Go-live / リリース済・本番稼働中,Sustainability / サステナビリティ,FRJP,0,X,,< 6 Month,,
P00071_05,P00071_05_RemindMailCreate,Go-live / リリース済・本番稼働中,Sustainability / サステナビリティ,FRJP,0,X,,< 6 Month,,
P00083_01,P00083_MonthlyReview,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,FRJP,60,,,,,
P00087_01,P00087_01_AlbDailyConfirmationTask_PM,Go-live / リリース済・本番稼働中,IT,FRJP,83,,X,Daily,,
P00090_01,P00090_AribaApplicationDismissal,Go-live / リリース済・本番稼働中,IT,FRJP,136,,X,Daily,,
P00093_04,P00093_04_FixLogisticsActualCost2_EstimatePreparation,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,X,,< 1 Month,,
P00093_06,P00093_06_FixLogisticsActualCost3,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,X,,< 1 Month,,
P00096_01,P00096_AlbDailyConfirmationTask_AM,Go-live / リリース済・本番稼働中,IT,FRJP,213,,X,Daily,,
P00102_01,P00102_01_SizeTable_UpdateSaleDate,Go-live / リリース済・本番稼働中,EC,FRJP,1053,X,,,,
P00102_02,P00102_02_SizeTable_UploadSizeTable,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,,,
P00104_01,P00104_CommonAxUpload,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,534,X,,< 1 Month,,
P00109_02,P00109_02_AdobeCampaignUser,Go-live / リリース済・本番稼働中,FRMIC,FRJP,0,X,,< 1 Year,,
P00112_05,P00112_05_DataConversion,Go-live / リリース済・本番稼働中,Business Management Support / 事業経営支援,FRJP,0,,X,不定期,,
P00113_01,P00113_01_OrchestratorRegister,Go-live / リリース済・本番稼働中,IT,FRJP,739,X,,,,
P00119_01,P00119_AutoShipingRequest,Go-live / リリース済・本番稼働中,EC,FRJP,1168,X,,,,
P00120_01,P00120_SearchedTradeMark,Go-live / リリース済・本番稼働中,Legal / 法務,FRJP,1050,,X,< 1 Day,,
P00124_01,P00124_01_RemainingInventoryReport,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,659,,X,Weekly,,
P00124_02,P00124_02_RemainingInventoryReport,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,X,Weekly,,
P00126_01,P00126_01_GlobalCapaDcInfoUpdate,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,739,X,,< 1 Month,,
P00130_02,P00130_02_MergeLessAmountStockRunOut,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,1040,,X,Weekly,,
P00131_01,P00131_01_PrepareFlyerPO,Go-live / リリース済・本番稼働中,Marketing / マーケティング,FRJP,1250,X,,,,
P00152_01,P00152_01_LogisticsTrackingKPI_CalculateKPIFromSPLData,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,554,,X,< 1 Week,,
P00152_02,P00152_02_LogisticsTrackingKPI_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,554,,X,< 1 Week,,
P00153_02,P00153_02_DeliveryKPI_CreateSummaryDataForKPI,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,556,X,,< 1 Week,,
P00162_03,P00162_03_ContractRenewalOfFixedTermEmployees,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 1 Month,,
P00164_01,P00164_CheckImageUsageOnECsite,Go-live / リリース済・本番稼働中,EC,FRJP,1080,,X,Daily,,
P00173_01,P00173_01_IPSReplacementOrder,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,2080,,X,Weekly,,
P00173_02,P00173_02_IPSReplacementOrder,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,0,,X,Weekly,,
P00175_03,P00175_03_ICAP_Reconciliation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,,
P00178_01,P00178_CreateGlobalPlReport,Go-live / リリース済・本番稼働中,EC,FRJP,504,,X,Daily,,
P00182_01,P00182_01_WeeklyLaborHoursManagement,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,409,X,,< 1 Week,,
P00182_02,P00182_02_MonthlyLaborHoursManagement,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 1 Month,,
P00182_03,P00182_03_ForeignWorkersLaborHoursManagement,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 1 Month,,
P00186_01,P00186_XAMLCodeAnalyzer,Go-live / リリース済・本番稼働中,,FRJP,0,X,,,,
P00205_01,P00205_Corporate Tax Automation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,494,X,,,,
P00210_01,P00210_B200,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,GUJP,0,,,,,
P00211_01,P00211_01_LogisticsKPI_QueryToolAutomation,Go-live / リリース済・本番稼働中,Information Center / 情報センター,FRJP,0,,X,< 1 Week,,
P00221,P00221_Bank Reconciliation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,676.8,,X,Monthly,,
P00238_02,P00238_02_Annual_Leave_Expiration_Notification_Manual,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,0,X,,,,
P00240_01,P00240_01_VAT_In_Preparation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,6239,,X,Manually,,
P00240_02,P00240_02_VAT_Calculation_and_Posting,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,69,,X,Manually,,
P00240_03,P00240_03_VAT_Email_Sending,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,138,,X,Manually,,
P00240_04,P00240_04_VAT_Email_Receiving,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,276,,X,Monthly,,
P00241_01,P00241_01_JP1JobnetDeployment(Caller_DWH_pt),Go-live / リリース済・本番稼働中,IT,FRJP,830,X,,,,
P00241_02,P00241_02_JP1JobnetDeployment(Caller_DWH_st),Go-live / リリース済・本番稼働中,IT,FRJP,0,X,,,,
P00241_03,P00241_03_JP1JobnetDeployment(Caller_IMS_pt),Go-live / リリース済・本番稼働中,IT,FRJP,0,X,,,,
P00241_04,P00241_04_JP1JobnetDeployment(Caller_IMS_st),Go-live / リリース済・本番稼働中,IT,FRJP,0,X,,,,
P00241_05,P00241_04_JP1JobnetDeployment(Caller_DWH_prd),Go-live / リリース済・本番稼働中,IT,FRJP,0,X,,,,
P00241_06,P00241_04_JP1JobnetDeployment(Caller_IMS_prd),Go-live / リリース済・本番稼働中,IT,FRJP,0,X,,,,
P00245_10,P00245_10_Z-System_Consolidate,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,,
P00248,P00248_ACPF_HK_Customer_Incremental_Report,Go-live / リリース済・本番稼働中,EC,FRCN,48,,,,,
P00249,P00249_01_G1SKU Report,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,2210,,X,< 1 Week,,
P00252_01,P00252_01_DailyReport_CN,Go-live / リリース済・本番稼働中,EC,GUJP,390.5,,,,,
P00252_02,P00252_01_DailyReport_HK,Go-live / リリース済・本番稼働中,EC,GUJP,0,,,,,
P00252_03,P00252_01_DailyReport_TW,Go-live / リリース済・本番稼働中,EC,GUJP,0,,,,,
P00252_04,P00252_01_DailyReport_KR,Go-live / リリース済・本番稼働中,EC,GUJP,0,,,,,
P00304,P00304_GetMeetLink,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,,,
P00307,P00307_Cashflow_Statement_Report,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,700,,,,,
P00326,P00326_Update_self_reminder,Go-live / リリース済・本番稼働中,General Affairs / 総務,User,20,,,,,
P00328,P00328_Reminder_of_license_expiration,Go-live / リリース済・本番稼働中,General Affairs / 総務,User,60,,,,,
,,,,,,,,,5106,
,,,,,,,,,2163,
,,,,,,,,,701,
,,,,,,,,,1124,
,,,,,,,,,582,
,,,,,,,,,449,
,,,,,,,,,349,
,,,,,,,,,279,
,,,,,,,,,198,
,,,,,,,,,177,
,,,,,,,,,113,
,,,,,,,,,77,
,,,,,,,,,70,
,,,,,,,,,69,
,,,,,,,,,63,
,,,,,,,,,58,
,,,,,,,,,48,
,,,,,,,,,46,
,,,,,,,,,42,
,,,,,,,,,33,
,,,,,,,,,32,
,,,,,,,,,30,
,,,,,,,,,22,
,,,,,,,,,20,
,,,,,,,,,15,
,,,,,,,,,10,
,,,,,,,,,9,
,,,,,,,,,3,
,,,,,,,,,3,
,,,,,,,,,3,
,,,,,,,,,3,
,,,,,,,,,1,
,,,,,,,,,1,
,,,,,,,,,1,
,,,,,,,,,1,
,,,,,,,,,1,
