"@timestamp per week","processName.keyword: Descending",filters,Count
"2020-09-28","P00195_SalesPlanConfirmMeetingReport_W10JPO16JP_ProdEnv_P00195_UR_W10JPO16JP",COMPLETED,6
"2020-09-28","P00002_03_SaturnQuery_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",STARTED,0
"2020-09-28","P00002_03_SaturnQuery_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00075_CreateOrderProgressFile_W10JPO16JP_ProdEnv_P00075_AR_W10JPO16JP",STARTED,124
"2020-09-28","P00075_CreateOrderProgressFile_W10JPO16JP_ProdEnv_P00075_AR_W10JPO16JP",COMPLETED,116
"2020-09-28","P00159_PLSTCentricMatchingOfficialData_W10JPO16JP_ProdEnv_P00159_UR_W10JPO16JP",STARTED,14
"2020-09-28","P00159_PLSTCentricMatchingOfficialData_W10JPO16JP_ProdEnv_P00159_UR_W10JPO16JP",COMPLETED,13
"2020-09-28","P00304_GetMeetLink_ProdEnv_P00304_AR_W10JPO16JP",STARTED,0
"2020-09-28","P00304_GetMeetLink_ProdEnv_P00304_AR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00112_01_MakeBaseData_W10JPO16JP_ProdEnv_P00112_UAT",STARTED,12
"2020-09-28","P00112_01_MakeBaseData_W10JPO16JP_ProdEnv_P00112_UAT",COMPLETED,5
"2020-09-28","P00011_01_PaymentNotice_W10JPO16JP_ProdEnv_P00011_AR_W10JPO16JP",STARTED,6
"2020-09-28","P00011_01_PaymentNotice_W10JPO16JP_ProdEnv_P00011_AR_W10JPO16JP",COMPLETED,5
"2020-09-28","P00249_01_G1SKUReport_W10JPO16JP_ProdEnv_P00249_UR_W10JPO16JP",STARTED,0
"2020-09-28","P00249_01_G1SKUReport_W10JPO16JP_ProdEnv_P00249_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00038_01_UpdateRequest_DigitalSinage_ProdEnv_P00038_AR_W10JPO16JP",STARTED,21
"2020-09-28","P00038_01_UpdateRequest_DigitalSinage_ProdEnv_P00038_AR_W10JPO16JP",COMPLETED,14
"2020-09-28","P00072_CustomersSoldNumberAnalysis_W10JPO16JP_ProdEnv_P00072_UR_W10JPO16JP",STARTED,5
"2020-09-28","P00072_CustomersSoldNumberAnalysis_W10JPO16JP_ProdEnv_P00072_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00019_03_CreateActualSaleWeeklyReport_SKU_W10JPO16JP_ProdEnv_P00019_AR_W10JPO16JP",STARTED,205
"2020-09-28","P00019_03_CreateActualSaleWeeklyReport_SKU_W10JPO16JP_ProdEnv_P00019_AR_W10JPO16JP",COMPLETED,195
"2020-09-28","P00203_bankSlip_Download_ProdEnv_P00203_UR_W10ENO16EN",STARTED,740
"2020-09-28","P00203_bankSlip_Download_ProdEnv_P00203_UR_W10ENO16EN",COMPLETED,739
"2020-09-28","P00136_02_StoreProductStockout_Store_W10JPO16JP_ProdEnv_P00136_AR_W10JPO16JP",STARTED,14
"2020-09-28","P00136_02_StoreProductStockout_Store_W10JPO16JP_ProdEnv_P00136_AR_W10JPO16JP",COMPLETED,14
"2020-09-28","P00185_BudgetRegistration_W10ENO16EN_ProdEnv_P00185_AR_W10ENO16EN",STARTED,7
"2020-09-28","P00185_BudgetRegistration_W10ENO16EN_ProdEnv_P00185_AR_W10ENO16EN",COMPLETED,7
"2020-09-28","P00165_01_CreateEndStockList_W10JPO16JP_ProdEnv_P00165_UR_W10JPO16JP",STARTED,85
"2020-09-28","P00165_01_CreateEndStockList_W10JPO16JP_ProdEnv_P00165_UR_W10JPO16JP",COMPLETED,84
"2020-09-28","P00220_Bank_Statement_Download_ProdEnv_P00220_UR_W10ENO16EN",STARTED,718
"2020-09-28","P00220_Bank_Statement_Download_ProdEnv_P00220_UR_W10ENO16EN",COMPLETED,718
"2020-09-28","P00229_01_OOS_Report_ProdEnv_P00229_UR_W10ENO16EN",STARTED,9
"2020-09-28","P00229_01_OOS_Report_ProdEnv_P00229_UR_W10ENO16EN",COMPLETED,0
"2020-09-28","P00020_EC-MD_ActualOrderReport_W10JPO16JP_ProdEnv_P00020_UR_W10JPO16JP",STARTED,3
"2020-09-28","P00020_EC-MD_ActualOrderReport_W10JPO16JP_ProdEnv_P00020_UR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00239_01_Abnormal_Absence_Notification_Weekly__ProdEnv_P00239_UR_W10ENO16EN",STARTED,328
"2020-09-28","P00239_01_Abnormal_Absence_Notification_Weekly__ProdEnv_P00239_UR_W10ENO16EN",COMPLETED,328
"2020-09-28","P00013_GSD_System_Privileges_Customer_Digital_W10JPO16JP_ProdEnv_P00013_AR_W10JPO16JP",STARTED,38
"2020-09-28","P00013_GSD_System_Privileges_Customer_Digital_W10JPO16JP_ProdEnv_P00013_AR_W10JPO16JP",COMPLETED,32
"2020-09-28","P00017_04_LogisticsKPI_CaluculateKPI_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",STARTED,28
"2020-09-28","P00017_04_LogisticsKPI_CaluculateKPI_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",COMPLETED,28
"2020-09-28","P00002_02_JmupsQuery_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",STARTED,9
"2020-09-28","P00002_02_JmupsQuery_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",COMPLETED,8
"2020-09-28","P00250_02_DownloadWeeklyPrintableFormByPlanningSum_W10JPO16JP_ProdEnv_P00250_UR_W10JPO16JP",STARTED,14
"2020-09-28","P00250_02_DownloadWeeklyPrintableFormByPlanningSum_W10JPO16JP_ProdEnv_P00250_UR_W10JPO16JP",COMPLETED,14
"2020-09-28","P00242_02_Daily_Sales_Reconciliation_ProdEnv_P00242_02_UR_W10ENO16EN",STARTED,12
"2020-09-28","P00242_02_Daily_Sales_Reconciliation_ProdEnv_P00242_02_UR_W10ENO16EN",COMPLETED,11
"2020-09-28","P00176_ForcastByBizByDeptReport_W10JPO16JP_ProdEnv_P00176_UR_W10JPO16JP",STARTED,5
"2020-09-28","P00176_ForcastByBizByDeptReport_W10JPO16JP_ProdEnv_P00176_UR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00011_02_PaymentNotice_W10JPO16JP_ProdEnv_P00011_AR_W10JPO16JP",STARTED,3
"2020-09-28","P00011_02_PaymentNotice_W10JPO16JP_ProdEnv_P00011_AR_W10JPO16JP",COMPLETED,3
"2020-09-28","P00138_SalesPlanReport_W10JPO16JP_ProdEnv_P00138_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00138_SalesPlanReport_W10JPO16JP_ProdEnv_P00138_UR_W10JPO16JP",COMPLETED,7
"2020-09-28","P00024_01_InvoiceCreation_WIN10JPO16JP_ProdEnv_P00024_AR_W10JPO16JP",STARTED,0
"2020-09-28","P00024_01_InvoiceCreation_WIN10JPO16JP_ProdEnv_P00024_AR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00297_Store_Health_Certificate_Expire_Notification",STARTED,489
"2020-09-28","P00297_Store_Health_Certificate_Expire_Notification",COMPLETED,481
"2020-09-28","P00269_01_GeneralQueryToolDownload_Local_W10JPO16JP_ProdEnv_P00269_AR_Temporary",STARTED,0
"2020-09-28","P00269_01_GeneralQueryToolDownload_Local_W10JPO16JP_ProdEnv_P00269_AR_Temporary",COMPLETED,0
"2020-09-28","P00105_02_SendNG_W10JPO16JP_ProdEnv_P00105_UR_W10JPO16JP",STARTED,5
"2020-09-28","P00105_02_SendNG_W10JPO16JP_ProdEnv_P00105_UR_W10JPO16JP",COMPLETED,5
"2020-09-28","P00152_04_LogisticsTrackingKPI_CalculateKPIFromQuery_W10JPO16JP_ProdEnv_P00152_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00152_04_LogisticsTrackingKPI_CalculateKPIFromQuery_W10JPO16JP_ProdEnv_P00152_UR_W10JPO16JP",COMPLETED,5
"2020-09-28","P00335_RecoveryLongTimePendingJobs_ProdEnv_P00335_UR_W10JPO16JP",STARTED,0
"2020-09-28","P00335_RecoveryLongTimePendingJobs_ProdEnv_P00335_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00023_01_ComplianceManagement_W10JPO16JP_ProdEnv_P00023_UR_W10JPO16JP",STARTED,24
"2020-09-28","P00023_01_ComplianceManagement_W10JPO16JP_ProdEnv_P00023_UR_W10JPO16JP",COMPLETED,24
"2020-09-28","P00148_06_CreateItemHandbook_W10JPO16JP_ProdEnv_P00148_UR_W10JPO16JP",STARTED,10
"2020-09-28","P00148_06_CreateItemHandbook_W10JPO16JP_ProdEnv_P00148_UR_W10JPO16JP",COMPLETED,10
"2020-09-28","P00017_02_LogisticsKPI_IMS_W10JPO16JP_ProdEnv_P00017_AR_W10JPO16JP",STARTED,15
"2020-09-28","P00017_02_LogisticsKPI_IMS_W10JPO16JP_ProdEnv_P00017_AR_W10JPO16JP",COMPLETED,10
"2020-09-28","P00014_03_CheckFlyerMainProcess_W10JPO16JP_ProdEnv_P00014_AR_W10JPO16JP",STARTED,4
"2020-09-28","P00014_03_CheckFlyerMainProcess_W10JPO16JP_ProdEnv_P00014_AR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00282AR_W10JPO16JP_ProdEnv_P00282_AR_W10JPO16JP",STARTED,84
"2020-09-28","P00282AR_W10JPO16JP_ProdEnv_P00282_AR_W10JPO16JP",COMPLETED,57
"2020-09-28","P00112_04_UpdateAuditRecord_W10JPO16JP_ProdEnv_P00112_UAT",STARTED,27
"2020-09-28","P00112_04_UpdateAuditRecord_W10JPO16JP_ProdEnv_P00112_UAT",COMPLETED,25
